#Glass materials Database#Name: Glass name
#LambdaMin, LambdaMax: wavelength range (um)
#K1,L1,K2,L2,K3,L3: Sellmeier1 coeficients.
#Name                       LambdaMin	LambdaMax		K1		L1		K2		L2	      K3               L3			
N-LAF36                    0.350000	2.500000	1.857442280E+00	9.823971910E-03	2.940987290E-01	3.843091380E-02	1.166154170E+00	8.939846340E+01
N-LASF45HT                 0.350000	2.500000	1.871401980E+00	1.121719200E-02	2.677778790E-01	5.051349720E-02	1.730300080E+00	1.471065050E+02
SFL6                       0.370000	2.325000	1.789220560E+00	1.351635370E-02	3.284274480E-01	6.227295990E-02	2.016394410E+00	1.680147130E+02
SFL57                      0.390000	2.500000	1.887423260E+00	1.459393410E-02	3.605340250E-01	6.481989460E-02	2.261893130E+00	1.760622110E+02
SF57HT                     0.370000	2.500000	1.816513710E+00	1.437041980E-02	4.288936410E-01	5.928011720E-02	1.071862780E+00	1.214199420E+02
N-LASF9HT                  0.350000	2.500000	2.000295470E+00	1.214260170E-02	2.989268860E-01	5.387362360E-02	1.806918430E+00	1.565308290E+02
N-LASF46A                  0.365000	2.500000	2.167015660E+00	1.235955240E-02	3.198127610E-01	5.606102820E-02	1.660044860E+00	1.070477180E+02
N-ZK7                      0.300000	2.500000	1.077150320E+00	6.766016570E-03	1.680791090E-01	2.306428170E-02	8.518898920E-01	8.904987780E+01
K7                         0.310000	2.500000	1.127355500E+00	7.203417070E-03	1.244123030E-01	2.698359160E-02	8.271005310E-01	1.003845880E+02
AF32ECO                    0.310000	2.325000	1.113329550E+00	7.074939770E-03	1.415272820E-01	2.253586370E-02	8.607431470E-01	9.015526520E+01
BAF13                      0.334000	2.325000	1.570685900E+00	9.393774870E-03	1.512951520E-01	4.494798660E-02	1.076380260E+00	1.139341260E+02
BAF3                       0.334000	2.325000	1.320642670E+00	8.877987150E-03	1.335726830E-01	4.202903460E-02	8.855218210E-01	1.117291670E+02
BAF4                       0.334000	2.500000	1.374925900E+00	9.295543430E-03	1.463545000E-01	4.404266540E-02	9.126433590E-01	1.166078990E+02
BAF50                      0.334000	2.325000	1.630071750E+00	1.009827350E-02	1.351692890E-01	4.545801370E-02	1.153297340E+00	1.214352510E+02
BAF51                      0.334000	2.325000	1.532304210E+00	9.682696790E-03	1.361991710E-01	4.482755980E-02	1.122868500E+00	1.237758790E+02
BAF52                      0.334000	2.325000	1.416321420E+00	9.287831440E-03	1.173311900E-01	4.499101500E-02	9.341147820E-01	1.141255610E+02
BAF8                       0.334000	2.325000	1.449671570E+00	9.190529110E-03	1.316006770E-01	4.257301080E-02	9.392245130E-01	1.121539630E+02
BAF9                       0.334000	2.325000	1.510187710E+00	9.180953010E-03	1.336368070E-01	4.164496000E-02	9.539939480E-01	1.080487650E+02
